ROI,Set,Object Class,Mean green (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation green (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean red (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation red (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean LidarCHM (44411C83-609B-4758-93D3-FF62DF246855),Standard deviation LidarCHM (4B11667E-1449-440f-8D7B-0A4D90E62B3E),Mean VARI (44411C83-609B-4758-93D3-FF62DF246855),Compactness (1F03F8EB-A21A-4d53-B9DA-391FFE1B804D),Asymmetry (D9CC01FF-7C3D-4861-9608-38D8EB2D3CCC),Roundness (10DB8137-DB64-4e20-803F-9356BF3DB4A8),GLCM Mean (all dir.) (36BF5FD8-6AC1-4ef2-A967-255B5ACF270B),GLCM StdDev (all dir.) (A8922BC5-0EB5-416b-90C4-AF11449257FB)
B,Train,Angophora subvelutina,122.9735641,50.09460449,100.8044586,49.80023193,9.796541214,5.556114674,0.06899634,2.968746662,0.58620739,1.535143852,127.3012543,36.79655075
B,Train,Angophora subvelutina,130.0593719,39.83178329,120.9230118,40.01588821,12.45959091,8.061405182,0.024901496,2.722941875,0.57245326,1.380463839,127.5565567,36.47624207
B,Train,Angophora subvelutina,219.6885529,31.31207848,199.6768494,40.62355804,17.76438332,5.293075085,0.032968935,3.770227432,0.863140643,2.034043789,123.4030151,39.35975647
B,Train,Corymbia intermedia,112.6752014,52.16467285,96.52080536,50.96503448,22.45575714,3.086506605,0.053221282,2.270661354,0.711681247,1.103729129,127.0011902,36.79148102
B,Train,Corymbia intermedia,116.6284027,39.93804169,99.69020081,36.68427277,12.59495544,5.22693634,0.054632939,1.850144506,0.615251064,1.043793917,127.3899002,36.98657608
B,Train,Corymbia intermedia,121.4384766,50.83747482,105.6485748,50.21713638,12.32061863,8.013602257,0.048921824,3.023581266,0.681757987,1.790824771,128.6148529,37.42599487
B,Train,Corymbia intermedia,150.6701202,52.4103508,140.4466858,51.21590424,25.46832848,8.149044037,0.024748385,3.625140429,0.582100153,1.73383522,126.1479797,37.23399353
B,Train,Corymbia intermedia,194.7271118,37.9379921,173.9557648,41.38222122,27.14043427,5.643954277,0.039554968,3.80763483,0.523533344,2.123749256,126.1592484,37.00497055
B,Train,Corymbia intermedia,223.1226349,22.03876686,212.3668213,25.37315941,25.90125656,1.341295719,0.017168658,3.414753914,0.569231808,1.902663946,123.4810028,38.61148834
B,Train,Corymbia intermedia,83.72161102,42.48378754,73.83099365,39.84111023,15.41340446,8.409401894,0.043269187,2.288711309,0.513976514,1.163885951,127.9783554,36.61765671
B,Train,Corymbia intermedia,95.695961,35.14289474,82.94668579,34.55419159,21.56661606,2.085299492,0.050724931,5.625834942,0.658027172,3.140558481,129.5210266,38.59406662
