Profilelength;Segmentlength;X-Value;Y-Value;"LidarCHM_ROI_B_Clipped";Profilenumber;Segmentnumber;Pointnumber;Pointclass
0.00;0.00;475717.61;7024003.95;1.42;1;1;1;K
5.00;5.00;475722.45;7024005.18;1.04;1;1;2;P
10.00;10.00;475727.30;7024006.41;0.00;1;1;3;P
15.00;15.00;475732.15;7024007.63;0.00;1;1;4;P
20.00;20.00;475736.99;7024008.86;0.51;1;1;5;P
25.00;25.00;475741.84;7024010.09;1.14;1;1;6;P
30.00;30.00;475746.69;7024011.32;0.00;1;1;7;P
35.00;35.00;475751.53;7024012.55;0.66;1;1;8;P
40.00;40.00;475756.38;7024013.78;2.25;1;1;9;P
45.00;45.00;475761.23;7024015.01;0.80;1;1;10;P
50.00;50.00;475766.07;7024016.24;1.25;1;1;11;P
55.00;55.00;475770.92;7024017.47;1.27;1;1;12;P
60.00;60.00;475775.76;7024018.70;0.00;1;1;13;P
65.00;65.00;475780.61;7024019.93;0.00;1;1;14;P
70.00;70.00;475785.46;7024021.15;0.00;1;1;15;P
75.00;75.00;475790.30;7024022.38;0.00;1;1;16;P
80.00;80.00;475795.15;7024023.61;0.00;1;1;17;P
85.00;85.00;475800.00;7024024.84;0.85;1;1;18;P
90.00;90.00;475804.84;7024026.07;0.00;1;1;19;P
95.00;95.00;475809.69;7024027.30;25.84;1;1;20;P
100.00;100.00;475814.54;7024028.53;26.07;1;1;21;P
105.00;105.00;475819.38;7024029.76;15.13;1;1;22;P
110.00;110.00;475824.23;7024030.99;22.41;1;1;23;P
115.00;115.00;475829.08;7024032.22;20.85;1;1;24;P
120.00;120.00;475833.92;7024033.45;26.68;1;1;25;P
125.00;125.00;475838.77;7024034.68;24.58;1;1;26;P
130.00;130.00;475843.62;7024035.90;24.05;1;1;27;P
135.00;135.00;475848.46;7024037.13;22.74;1;1;28;P
140.00;140.00;475853.31;7024038.36;24.44;1;1;29;P
145.00;145.00;475858.16;7024039.59;25.40;1;1;30;P
150.00;150.00;475863.00;7024040.82;17.89;1;1;31;P
155.00;155.00;475867.85;7024042.05;20.55;1;1;32;P
160.00;160.00;475872.70;7024043.28;18.16;1;1;33;P
165.00;165.00;475877.54;7024044.51;21.55;1;1;34;P
170.00;170.00;475882.39;7024045.74;25.12;1;1;35;P
175.00;175.00;475887.24;7024046.97;19.59;1;1;36;P
180.00;180.00;475892.08;7024048.20;17.90;1;1;37;P
185.00;185.00;475896.93;7024049.43;20.59;1;1;38;P
190.00;190.00;475901.78;7024050.65;16.91;1;1;39;P
195.00;195.00;475906.62;7024051.88;14.40;1;1;40;P
200.00;200.00;475911.47;7024053.11;13.96;1;1;41;P
205.00;205.00;475916.32;7024054.34;0.00;1;1;42;P
210.00;210.00;475921.16;7024055.57;12.98;1;1;43;P
211.29;211.29;475922.41;7024055.89;15.09;1;1;44;S
211.29;0.00;475922.41;7024055.89;15.09;1;2;44;S
211.62;0.33;475922.41;7024056.22;11.72;1;2;45;K
